year,customer_name_norm,gross_invoices,positive_adjustments,credits_abs,net_invoiced,payments,year_net_delta,running_balance
2018,ALP COMMUNICATIONS,41.81,0.0,0.0,41.81,41.81,0.0,0.0
2011,ANDREW GREIG,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,ANTLER CREEK LOGGING LTD,13965.04,0.0,1010.64,12954.4,13597.53,-643.13,-643.13
2015,ANTLER CREEK LOGGING LTD,7341.53,0.0,0.0,7341.53,6698.4,643.13,0.0
2016,ANTLER CREEK LOGGING LTD,1163.84,0.0,222.37,941.47,941.49,-0.02,-0.02
2017,ANTLER CREEK LOGGING LTD,7298.68,0.0,0.0,7298.68,7298.68,0.0,-0.02
2018,ANTLER CREEK LOGGING LTD,1345.18,0.0,0.0,1345.18,1345.18,0.0,-0.02
2019,ANTLER CREEK LOGGING LTD,766.08,0.0,0.0,766.08,766.08,0.0,-0.02
2020,ANTLER CREEK LOGGING LTD,766.08,0.0,0.0,766.08,766.08,0.0,-0.02
2021,ANTLER CREEK LOGGING LTD,786.6,0.0,0.0,786.6,786.6,0.0,-0.02
2022,ANTLER CREEK LOGGING LTD,3966.49,0.0,1638.01,2328.48,2328.48,-0.0,-0.02
2023,ANTLER CREEK LOGGING LTD,2167.65,0.0,0.0,2167.65,2167.65,0.0,-0.02
2024,ANTLER CREEK LOGGING LTD,2209.09,0.0,0.0,2209.09,2209.09,0.0,-0.02
2025,ANTLER CREEK LOGGING LTD,2727.28,0.0,0.0,2727.28,2727.28,0.0,-0.02
2010,APATEL@COMPTROUB.COM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,APOLLO BIZ SOLUTIONS LLC,500.0,0.0,500.0,0.0,0.0,0.0,0.0
2017,ART GALLERY OF ALBERTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,ART GALLERY OF ALBERTA,275.63,0.0,0.0,275.63,275.63,0.0,0.0
2022,ART GALLERY OF ALBERTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,ART GALLERY OF ALBERTA,137.81,0.0,0.0,137.81,0.0,137.81,137.81
2024,ARTS AND HERITAGE ST ALBERT,1576.06,0.0,0.0,1576.06,1576.06,0.0,0.0
2025,ARTS AND HERITAGE ST ALBERT,1531.16,0.0,0.0,1531.16,1531.16,0.0,0.0
2015,ASSET TAGZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,ASSET TAGZ,7509.5,0.0,0.0,7509.5,0.0,7509.5,7509.5
2017,ASSET TAGZ,149.5,0.0,2950.0,-2800.5,12.01,-2812.51,4696.99
2018,ASSET TAGZ,0.0,0.0,0.0,0.0,3921.36,-3921.36,775.63
2019,ASSET TAGZ,0.0,0.0,0.0,0.0,800.0,-800.0,-24.37
2020,ASSET TAGZ,0.0,0.0,0.0,0.0,3400.0,-3400.0,-3424.37
2021,ASSET TAGZ,0.0,0.0,0.0,0.0,14856.22,-14856.22,-18280.59
2018,ASSOCIATED LABELS,67750.63,0.0,0.0,67750.63,65020.63,2730.0,2730.0
2019,ASSOCIATED LABELS,109059.45,0.0,346.5,108712.95,98666.4,10046.55,12776.55
2020,ASSOCIATED LABELS,81234.59,0.0,0.0,81234.59,88341.14,-7106.55,5670.0
2021,ASSOCIATED LABELS,102775.18,0.0,79.8,102695.38,95659.44,7035.94,12705.94
2022,ASSOCIATED LABELS,60771.21,0.0,0.0,60771.21,71586.62,-10815.41,1890.53
2023,ASSOCIATED LABELS,1243.55,0.0,0.0,1243.55,3134.08,-1890.53,-0.0
2024,ASSOCIATED LABELS,11998.38,0.0,0.0,11998.38,11998.38,0.0,-0.0
2025,ASSOCIATED LABELS,11945.37,0.0,0.0,11945.37,11945.37,0.0,-0.0
2017,AT&T CANADA ALLSTREAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,ATLANTIC CANADA CONSERVATION DATA CENTRE,904.17,0.0,0.0,904.17,904.17,0.0,0.0
2025,ATLANTIC CANADA CONSERVATION DATA CENTRE,3653.86,0.0,0.0,3653.86,1958.86,1695.0,1695.0
2026,ATLANTIC CANADA CONSERVATION DATA CENTRE,0.0,0.0,0.0,0.0,1695.0,-1695.0,0.0
2024,"ATLANTIS SUBMARINES (INTERNATIONAL HOLDINGS), INC",236.25,0.0,236.25,0.0,0.0,0.0,0.0
2017,ATTN: VIRGINIA ACCTS PAYABLE / CHILD HEALTH BC,52161.4,0.0,0.0,52161.4,52161.4,0.0,0.0
2018,ATTN: VIRGINIA ACCTS PAYABLE / CHILD HEALTH BC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,AVI KLAYMAN,33.39,0.0,0.0,33.39,33.39,0.0,0.0
